index,reduced_formula,e_hull_eV_per_atom,in_sample_sun
84,Rb5Sn3(SBr2)4,0.057897349,false
85,Rb2Sn4S3Br7,0.071561134,false
86,Rb3Sn3(SBr4)2,0.059491998,false
87,Rb3Sn2S2Br9,0.012437931,false
88,Rb3Sn4S2Br11,0.049604458,false
89,RbSn2(SBr2)2,0.071754156,false
90,RbSn(SBr3)2,-0.001786136,true
91,Rb4Sn(SBr4)3,0.075215128,false
92,Rb2SnS2Br9,-0.048190899,true
93,RbSn2SBr6,0.122189246,false
94,Rb3Sn2SBr12,0.084010084,false
95,Rb2Sn3SBr8,0.044142067,false
96,Rb3Sn3SBr9,0.027299629,false
97,Rb2Sn3S2Br7,0.062380552,false
98,Rb3SnSBr5,0.086670985,false
99,RbSn2SBr4,0.063266932,false
100,Rb4Sn3SBr10,0.062291442,false
101,RbSn2SBr5,0.051231661,false
102,RbSn2S2Br5,0.063013308,false
103,RbSn3(SBr3)2,0.064143819,false
104,Rb3Sn2(SBr4)2,0.108383954,false
105,Rb5Sn2S4Br9,0.051826713,false
106,Rb3SnSBr4,0.100442315,false
107,Rb2CrBr6,-0.126471606,true
108,Rb2Cr2Br7,0.035094809,false
109,Rb4CrBr5,0.153560292,false
110,RbCrBr4,0.052672028,false
111,RbCrBr3,0.074687876,false
112,Rb3CrBr6,0.021964969,false
113,Rb2CrBr5,0.013020047,false
114,RbCrBr2,0.376432037,false
115,Rb3CrBr5,0.068863123,false
116,Rb2CrBr8,-0.090682664,true
117,Rb2CrBr3,0.214117165,false
118,RbCrBr6,-0.127856077,true
119,Rb2CrBr4,0.036993966,false
120,RbCrBr10,-0.100819872,true
121,Rb(CrBr3)2,0.046894338,false
122,Rb6CrBr8,0.015949722,false
123,RbCr3Br8,0.025650600,false
124,RbCr2Br11,-0.094603138,true
125,Rb(CrBr4)2,-0.001554096,true
126,Rb3(CrBr5)2,-0.063287501,true
127,RbCr2Br9,-0.082471934,true
128,Rb3Cr2Br11,-0.109223631,true
129,Rb5Cr2Br9,0.088922447,false
130,Rb2CrBr7,-0.053257865,true
131,RbCr2Br7,0.040178506,false
132,RbCrBr5,-0.082846694,true
133,Rb3CrBr7,-0.029705242,true
134,Rb6Cr2Br11,0.027887023,false
135,Rb2Cr3Br11,0.047989304,false
136,Rb5(CrBr4)2,0.127567510,false
137,Rb3Cr3Br14,-0.065013744,true
138,Rb3Cr2Br9,0.002045619,false
139,Rb4Cr2Br9,0.027206832,false
140,Rb2Cr3Br10,0.078765503,false
141,Rb4Cr3Br11,0.028621791,false
142,Rb4(CrBr4)3,0.029129123,false
143,Rb2CrBr9,-0.111246383,true
144,Rb4Cr3Br13,0.031427935,false
145,Rb4CrBr7,0.021928685,false
146,Rb5Cr2Br13,-0.043677321,true
147,RbCrBr7,-0.040333963,true
148,Rb3Cr2Br5,0.362053024,false
149,Rb3Cr2Br7,0.064394352,false
150,Rb(CrBr2)4,0.124375208,false
151,Rb2(CrBr2)3,0.308877386,false
152,Rb3(CrBr3)2,0.101417480,false
153,Rb2Cr2Br11,-0.112035586,true
154,Rb3Cr3Br10,0.053808563,false
155,Rb3Cr4Br13,0.016909662,false
156,Rb3CrBr8,-0.092236826,true
157,Rb3Cr2Br13,-0.056134129,true
158,Rb2Cr2Br9,-0.046051366,true
159,Rb7Cr2Br9,0.150148122,false
160,Rb3CrBr4,0.163876896,false
161,Rb5CrBr6,0.122728005,false
162,Rb5Cr3Br11,0.046364652,false
163,Rb5CrBr9,-0.019201698,true
164,RbCr2Br5,0.088714817,false
165,Rb4CrBr10,-0.065677177,true
166,Rb5(CrBr5)2,0.032712784,false
167,Rb3(CrBr4)2,0.034748491,false
168,Rb4CrBr6,0.050996025,false
169,Rb7CrBr8,0.074262162,false
170,Rb2NiBr6,-0.086745877,true
171,Rb2NiBr5,-0.068772605,true
172,Rb5Ni2Br9,0.060580476,false
173,Rb3Ni2Br9,-0.051705917,true
174,RbNiBr2,0.610555148,false
175,Rb2Ni2Br15,-0.025678153,true
176,Rb5Ni2Br11,-0.019630513,true
177,Rb3NiBr5,0.027899241,false
178,Rb2NiBr3,0.188891367,false
179,Rb3NiBr4,0.132416194,false
180,RbNiBr6,-0.007068297,true
181,Rb2NiBr7,-0.057524224,true
182,RbNiBr7,-0.070571946,true
183,Rb3Ni2Br11,-0.052602975,true
184,Rb(NiBr3)2,-0.025990034,true
185,Rb2Ni3Br10,-0.041371298,true
186,RbCoBr2,0.405578656,false
187,Rb2CoBr5,-0.078610963,true
188,Rb5CoBr6,0.161802726,false
189,Rb3Co2Br11,-0.127270525,true
190,RbCoBr6,-0.137737133,true
191,Rb3Co2Br7,0.040926284,false
192,RbCo3Br8,-0.017314498,true
193,Rb3(CoBr5)2,-0.053282538,true
194,Rb3CoBr8,-0.100278099,true
195,Rb5(CoBr4)3,-0.017299067,true
196,Rb(CoBr3)2,-0.055141813,true
197,Rb7CoBr8,0.107693381,false
198,Rb3Co5Br11,0.157095108,false
199,Rb2CoBr3,0.291009903,false
200,Rb3Co3Br8,0.137350354,false
201,Rb4Co2Br9,-0.034954334,true
202,Rb4CoBr6,0.094687034,false
203,RbCoBr5,-0.118958037,true
204,Rb2CoBr9,-0.122984072,true
205,Rb2CoBr7,-0.097479535,true
206,Rb2Co2Br7,-0.062351783,true
207,RbCo2Br7,-0.124799363,true
208,Rb2Co3Br11,-0.129168972,true
209,Rb3Co4Br13,-0.062151115,true
210,Rb(VBr3)2,0.004444664,false
211,RbV2Br5,0.045853349,false
212,Rb3VBr6,0.031854559,false
213,RbV2Br7,0.003122895,false
214,RbVBr4,0.046554943,false
215,RbVBr3,0.063517673,false
216,RbVBr2,0.508708686,false
217,Rb2VBr6,-0.137932161,true
218,Rb5(VBr4)3,0.032826678,false
219,RbVBr6,-0.230936785,true
220,RbV2Br9,-0.106174040,true
221,RbV3Br11,-0.099812112,true
222,Rb6VBr8,0.013262090,false
223,Rb2VBr4,0.024294493,false
224,Rb3VBr5,0.036125652,false
225,Rb3V2Br7,0.054314645,false
226,Rb2VBr9,-0.179093916,true
227,Rb3VBr8,-0.106771071,true
228,Rb2VBr5,0.021071785,false
229,Rb5V2Br13,-0.031489375,true
230,Rb3V2Br11,-0.140573202,true
231,Rb2V2Br11,-0.169107997,true
232,Rb2V2Br7,0.031048963,false
233,Rb2VBr3,0.284891001,false
234,Rb2VBr8,-0.149138556,true
235,Rb4V2Br9,0.026555526,false
236,RbV3Br8,0.014691023,false
237,RbVBr5,-0.177630955,true
238,Rb5VBr8,0.027654505,false
239,Rb3(VBr4)2,0.027104633,false
240,Rb(VBr4)2,-0.142588775,true
241,Rb2V3Br13,-0.143331593,true
242,Rb2V2Br9,-0.082305690,true
243,Rb5(VBr6)2,-0.018431772,true
244,Rb5VBr6,0.120592845,false
245,Rb3VBr4,0.156282129,false
246,Rb4V3Br11,0.026516809,false
247,Rb4V3Br13,0.032964036,false
248,Rb3V2Br13,-0.173825926,true
249,Rb3V3Br14,-0.123710604,true
250,Rb3V2Br15,-0.170295526,true
251,Rb7VBr10,0.105994519,false
252,Rb3(VBr5)2,-0.070605736,true
253,Rb3V3Br13,-0.052925042,true
254,Rb5V2Br11,0.029209572,false
255,Rb3V2Br9,0.035779992,false
256,Rb(VBr5)2,-0.259900084,true
257,RbVBr7,-0.204002531,true
258,Rb6VBr7,0.089731454,false
259,Rb2V4Br13,-0.007431581,true
260,Rb4VBr7,0.025635369,false
261,Rb2(VBr5)3,-0.178354967,true
262,Rb2V2Br5,0.128692671,false
263,Rb3(VBr3)2,0.127845828,false
264,Rb4VBr10,-0.076746960,true
265,RbV2Br3,0.533681937,false
266,Rb2V3Br8,0.063530651,false
267,Rb5VBr9,-0.042435835,true
268,Rb4(VBr4)3,0.056515046,false
269,Cs2VBr6,-0.169216765,true
270,CsVBr3,0.061610715,false
271,CsVBr2,0.520022679,false
272,CsVBr4,-0.095040721,true
273,Cs3VBr6,-0.070220008,true
274,Cs3V2Br7,0.036923893,false
275,CsVBr5,-0.144489040,true
276,Cs2VBr5,-0.104758332,true
277,CsV2Br7,0.027089599,false
278,CsV3Br8,0.000016719,false
279,Cs(VBr4)2,-0.125779119,true
280,CsVBr6,-0.123743395,true
281,Cs3V2Br9,-0.100726271,true
282,Cs3VBr8,-0.074324606,true
283,Cs2V2Br11,-0.070862167,true
284,Cs2VBr4,0.021505426,false
285,Cs2V3Br11,-0.078069060,true
286,CsV2Br5,0.093357899,false
287,Cs2VBr3,0.224963527,false
288,Cs2VBr7,-0.047551432,true
289,Cs2(VBr3)3,0.009966627,false
290,Cs4VBr5,0.159066199,false
291,Cs2(VBr4)3,-0.113997467,true
292,Cs3V2Br11,-0.145670499,true
293,Cs(VBr3)2,-0.036260378,true
294,Cs3(VBr5)2,-0.130925990,true
295,Cs3V4Br13,-0.002524604,true
296,CsV2Br9,-0.152333679,true
297,KV2Br9,-0.113905424,true
298,K2VBr6,-0.159062804,true
299,K3V2Br11,-0.190968170,true
300,K4VBr7,0.068396006,false
301,K3VBr6,-0.034532349,true
302,KVBr6,-0.246545491,true
303,K2VBr5,-0.038560720,true
304,KVBr2,0.478889562,false
305,KVBr3,0.069617572,false
306,K2V3Br7,0.130675850,false
307,KVBr4,-0.059264279,true
308,KVBr5,-0.200395386,true
309,K2V2Br11,-0.239141291,true
310,K2VBr3,0.246599872,false
311,K3VBr8,-0.139906152,true
312,NaVBr6,-0.254284136,true
313,NaVBr5,-0.181436289,true
314,Na(VBr3)2,-0.038066405,true
315,NaVBr4,-0.016590818,true
316,Na2VBr6,-0.158864167,true
317,NaVBr2,0.425069000,false
318,Na2VBr5,-0.003310485,true
319,NaVBr3,0.201839405,false
320,Na3VBr6,-0.017623264,true
321,Na2VBr4,0.055411791,false
322,NaV3Br14,-0.262347293,true
323,NaV3Br8,-0.015967046,true
324,Na5VBr6,0.104804498,false
325,Na3VBr4,0.188290916,false
326,Na3(VBr4)2,0.010392256,false
327,LiVBr6,-0.225357119,true
328,LiVBr4,-0.029534816,true
329,Li3VBr8,-0.110036503,true
330,Li3VBr6,0.005157938,false
331,Li2V2Br11,-0.214180663,true
332,Li2VBr4,0.066015875,false
333,LiVBr2,0.434389594,false
334,Li3(VBr5)2,-0.089832930,true
335,Li(VBr3)2,-0.036704568,true
336,Li(VBr4)2,-0.130436309,true
337,Li2VBr6,-0.130726027,true
338,LiVBr3,0.071165406,false
339,Li5VBr8,0.020322445,false
340,Li3V3Br10,0.020164631,false
341,Li2(VBr5)3,-0.205010963,true
342,Na4V2Br9,0.043498132,false
343,Na2VBr7,-0.136778440,true
344,Na3VBr8,-0.110825527,true
345,Na(VBr4)2,-0.144304546,true
346,Rb3BiBr6,0.006216558,false
347,RbBiBr4,0.017508189,false
348,RbBiBr6,-0.035679225,true
349,RbBiBr5,-0.056846825,true
350,Rb(BiBr3)2,-0.007188716,true
351,Rb2BiBr6,-0.057122030,true
352,Rb2BiBr5,0.042868716,false
353,RbBi2Br7,0.047100094,false
354,RbBiBr3,0.060103556,false
355,RbBi2Br9,-0.034322719,true
356,Rb5BiBr6,0.084597658,false
357,Rb3SbBr6,0.027431983,false
358,Rb2SbBr5,0.019693717,false
359,Rb2SbBr4,0.048799151,false
360,RbSbBr4,0.014976626,false
361,RbSb2Br5,0.069311520,false
362,Rb4Sb3Br13,0.024433146,false
363,RbSbBr6,-0.079859081,true
364,Rb4SbBr5,0.092924922,false
365,RbSb3Br10,0.006847700,false
366,RbSbBr2,0.153255812,false
367,RbSbBr7,-0.055467345,true
368,RbSb2Br9,-0.052871033,true
369,Rb(SbBr3)2,-0.009173875,true
370,Rb(SbBr4)2,-0.022493340,true
371,RbGaBr4,-0.018977953,true
372,RbGaBr6,0.037422659,false
373,RbGaBr3,-0.011927050,true
374,Rb2GaBr5,0.033254011,false
375,RbGaBr2,0.077323025,false
376,Rb2Ga3Br10,0.049529126,false
377,Rb3Ga2Br11,-0.022109678,true
378,Rb5GaBr6,0.026506548,false
379,Rb4Ga3Br13,0.011892937,false
380,Rb4GaBr6,0.085539720,false
381,RbGa3Br8,-0.009639505,true
382,RbGaBr7,-0.074701998,true
383,Rb(GaBr4)2,-0.107233821,true
384,Rb5(GaBr4)2,0.031861998,false
385,RbGa2Br3,0.068813360,false
386,RbYBr4,-0.004781977,true
387,RbYBr2,0.318317652,false
388,Rb3YBr6,-0.044041724,true
389,RbYBr6,-0.034455997,true
390,Rb2YBr6,-0.126429177,true
391,Rb3YBr8,-0.121181028,true
392,RbY2Br7,0.039374493,false
393,RbYBr3,0.071451389,false
394,Rb2YBr7,-0.088621333,true
395,Rb3Y2Br9,-0.005001945,true
396,Rb4Y2Br9,-0.039808744,true
397,RbY2Br8,-0.061103963,true
398,Rb5Y2Br13,-0.124516987,true
399,RbY2Br6,-0.013106914,true
400,Rb3YBr4,0.146078783,false
401,RbLaBr4,0.019363976,false
402,Rb2LaBr6,-0.026505187,true
403,RbLaBr3,0.120688837,false
404,RbLaBr6,-0.023439399,true
405,RbLaBr2,0.204064642,false
406,Rb2LaBr8,-0.062706935,true
407,RbLa2Br7,0.034213053,false
408,Rb2La3Br11,0.044556884,false
409,Rb2La3Br9,-0.008510540,true
410,Rb2LaBr5,0.024098628,false
411,Rb3LaBr4,0.045749997,false
412,RbLuBr4,-0.039562756,true
413,Rb2LuBr6,-0.135540130,true
414,RbLuBr2,0.421211539,false
415,RbLuBr6,-0.019183350,true
416,RbLuBr5,-0.102893825,true
417,Rb2LuBr4,0.024648840,false
418,Rb2LuBr5,-0.066630008,true
419,Rb3LuBr8,-0.080425656,true
420,Rb3LuBr6,-0.073249216,true
421,RbLuBr3,0.073811617,false
422,Rb2Lu2Br7,-0.042432125,true
423,Rb3Lu2Br11,-0.100125469,true
424,RbLu2Br6,-0.006784038,true
425,Rb4Lu3Br13,-0.017493138,true
426,Rb3Lu2Br9,-0.052998499,true
427,RbGdBr4,-0.008727823,true
428,RbGd3Br4,0.130723142,false
429,RbGdBr3,0.044980166,false
430,RbGdBr2,0.227121817,false
431,Rb3Gd2Br7,0.017617746,false
432,RbGdBr6,0.016361955,false
433,Rb2Gd3Br10,-0.030638640,true
434,Rb2GdBr6,-0.104825446,true
435,Rb2GdBr4,-0.023046638,true
436,RbGd3Br8,0.056305716,false
437,RbGd2Br7,0.007564092,false
438,Rb3GdBr8,-0.083420541,true
439,Rb4GdBr7,0.023705900,false
440,Rb3Gd2Br9,-0.013458191,true
441,RbDyBr4,-0.043642521,true
442,RbDy2Br7,-0.012832768,true
443,RbDyBr2,0.399732421,false
444,RbDyBr3,0.084886865,false
445,Rb2DyBr4,0.010017118,false
446,Rb3DyBr6,-0.056291090,true
447,RbDyBr5,-0.115850875,true
448,RbDyBr6,-0.050520928,true
449,Rb2Dy2Br9,-0.118318568,true
450,Rb3Dy2Br10,-0.140183596,true
451,Rb2DyBr6,-0.153832839,true
452,Rb2Dy2Br7,0.016803407,false
453,Rb2InBr5,0.025609345,false
454,RbInBr2,0.006587977,false
455,RbInBr6,0.028561581,false
456,RbInBr3,0.035055534,false
457,Rb4(InBr3)3,0.020293279,false
458,Rb3In2Br7,0.027772247,false
459,Rb3InBr5,0.013263713,false
460,Rb(InBr3)2,0.007966765,false
461,Rb3InBr6,0.013222702,false
462,Rb4In3Br11,0.006159182,false
463,RbIn2Br5,0.023359906,false
464,Rb3(InBr5)2,-0.026411688,true
465,Rb4In2Br11,-0.028514854,true
466,Rb2InBr6,-0.050428324,true
467,RbIn2Br7,0.040567238,false
468,Rb6In2Br11,-0.004495310,true
469,Rb2TiBr6,-0.039614897,true
470,RbTiBr3,0.113691495,false
471,RbTiBr4,-0.015201497,true
472,Rb5TiBr8,0.045492631,false
473,Rb3TiBr6,-0.020658770,true
474,Rb5TiBr6,0.122933614,false
475,RbTiBr2,0.537516489,false
476,RbTiBr6,-0.112175109,true
477,Rb3Ti2Br13,-0.052949228,true
478,RbTi2Br7,0.017457731,false
479,Rb3Ti2Br9,-0.038660716,true
480,Rb2TiBr5,-0.023115066,true
481,Rb2TiBr4,0.051543534,false
482,Rb3TiBr5,0.034888931,false
483,Rb2Ti3Br11,-0.015840708,true
484,Rb5Ti2Br9,0.072970432,false
485,RbZr2Br7,0.070146143,false
486,RbZrBr4,-0.018146520,true
487,Rb(ZrBr4)2,-0.044266335,true
488,RbZrBr6,-0.126093872,true
489,Rb3Zr2Br11,-0.062066289,true
490,Rb5(ZrBr6)2,-0.084787670,true
491,Rb2Zr2Br7,0.017587816,false
492,Rb2ZrBr3,0.413644628,false
493,Rb2Zr2Br11,-0.047894255,true
494,Rb3ZrBr8,-0.058393988,true
495,Rb2ZrBr4,0.128803135,false
496,Rb3Zr3Br14,-0.029728980,true
497,Rb3ZrBr7,-0.026191867,true
498,Rb2ZrBr5,-0.016649450,true
499,RbZr2Br9,0.014729008,false
500,Rb4(ZrBr4)3,0.052519978,false
501,Rb3ZrBr11,-0.112621597,true
502,Rb3ZrBr4,0.305400526,false
503,Rb2ZrBr7,-0.069050669,true
504,Rb5Zr2Br13,-0.054635949,true
505,Rb3(ZrBr4)2,0.008791491,false
506,Rb6ZrBr9,0.027298425,false
507,Rb5(ZrBr4)3,0.116920053,false
508,Rb3Zr2Br7,0.179900563,false
509,Rb2ZrBr9,-0.129708767,true
510,Rb4ZrBr7,-0.025535748,true
511,Rb5ZrBr8,-0.031255943,true
512,Rb2Zr3Br13,-0.056400469,true
513,RbZr4Br13,0.026741924,false
514,Rb2ScBr5,0.029834047,false
515,Rb(ScBr3)2,-0.020609226,true
516,RbScBr3,0.085228288,false
517,Rb2ScBr4,0.040964060,false
518,Rb3ScBr6,-0.015051894,true
519,Rb3Sc2Br7,0.028140441,false
520,RbScBr2,0.389736310,false
521,Rb5ScBr6,0.043733823,false
522,RbScBr6,-0.043963230,true
523,Rb2ScBr6,-0.111584293,true
524,Rb6ScBr8,-0.035936067,true
525,Rb3(ScBr4)2,0.012087918,false
526,Rb5Sc2Br11,-0.001980592,true
527,RbSc2Br5,0.051357853,false
528,Rb3Sc4Br11,0.025707047,false
529,Rb(ScBr4)2,-0.123544501,true
530,Rb4Sc2Br9,-0.032902645,true
531,RbScBr5,-0.110476499,true
532,Rb2ScBr3,0.275025191,false
533,Rb3ScBr5,-0.009989836,true
534,Rb3(ScBr3)4,-0.015133692,true
535,Rb2Sc3Br11,0.027780724,false
536,Rb3ScBr8,-0.069629575,true
537,Rb2Sc2Br9,-0.059534095,true
538,RbSc3Br14,-0.115023736,true
539,Rb2ScBr7,-0.063292004,true
540,RbSc5Br8,0.084827689,false
541,Rb3(ScBr5)2,-0.082435407,true
542,Rb5ScBr9,-0.020608284,true
543,RbSc3Br8,-0.016558039,true
544,Rb2YBr3,0.223714880,false
545,Rb2CdBr9,-0.026430679,true
546,Rb(CdBr2)4,-0.007167390,true
547,Rb3CdBr8,-0.059126242,true
548,Rb2CdBr8,-0.046484201,true
549,Rb2Cd4Br9,-0.007679015,true
550,RbCd5Br12,-0.025679301,true
551,Rb5(CdBr6)2,-0.024567093,true
552,RbBi4Br5O8,0.229431628,false
553,Rb6Bi2Br2O5,0.040068181,false
554,RbBiBrO2,0.171380011,false
555,Rb2Bi2(BrO)3,0.150807327,false
556,RbBiBrO6,0.181909245,false
557,Rb3Bi(BrO2)2,0.325459054,false
558,Rb2BiBr4O11,0.054408869,false
559,Rb2BiBrO6,0.183009918,false
560,RbBiBrO,0.417243019,false
561,Rb3Bi(BrO5)2,0.099820276,false
562,RbBi(BrO3)2,0.186180956,false
563,Rb2Bi4Br2O7,0.100508833,false
564,Rb2BiBr4O13,0.007758672,false
565,RbBi2Br2O3,0.094897046,false
566,RbBi2Br2O11,0.157835835,false
567,RbBi(BrO2)4,0.140716318,false
568,RbBi3(BrO)4,0.113702068,false
569,Rb4SbBr7,0.017438850,false
570,Rb3SbBr8,-0.013537172,true
571,Rb2SbBr8,-0.044047011,true
572,Rb2SbBr3,0.056272394,false
573,Rb2Sb3Br11,0.020481081,false
574,RbSbBr3,0.057967378,false
575,Rb2SbBr6,0.003710509,false
576,Rb5SbBr12,-0.026905307,true
577,Rb2SbBr7,0.008597469,false
578,Rb2SbBr9,-0.059935811,true
579,Rb4Sb2Br13,0.045210851,false
580,Rb(SbBr4)3,0.004278802,false
581,Rb2Sb2Br7,0.019908432,false
582,RbSb3Br8,0.003693748,false
583,RbSb4Br15,-0.023811134,true
584,RbSbBr5,-0.013343700,true
585,Rb3Sb3Br14,-0.014700328,true
586,Rb(SbBr5)2,-0.019009171,true
587,Rb5(SbBr4)3,0.026929007,false
588,RbSb2Br7,0.022569535,false
589,Rb5Sb2Br13,0.072196810,false
590,RbSb4Br13,0.010362737,false
591,Rb3SbBr5,0.048081017,false
592,Rb3Sb2Br13,-0.033722508,true
593,Rb2Sb3Br7,0.015457980,false
594,RbSbCl3,0.060318388,false
595,Rb2Sb4Cl13,-0.033720560,true
596,Rb2SbCl7,0.123446145,false
597,Rb2Sb3Cl13,-0.014571922,true
598,Rb2SbCl4,-0.014403258,true
599,RbSb2Cl11,0.004091021,false
600,Rb2SbCl5,-0.032843804,true
601,RbSbCl4,-0.053077515,true
602,RbSbCl6,0.000755083,false
603,Rb3SbCl6,-0.054718756,true
604,RbSb2Cl7,-0.029193950,true
605,Rb3Sb2Cl11,-0.025401951,true
606,Rb2SbCl6,0.026711219,false
607,Rb4SbCl7,-0.034564391,true
608,Rb2SbCl8,0.025072950,false
609,Rb3Sb3Cl14,-0.019075151,true
610,RbSbCl2,0.174796102,false
611,RbSbCl10,-0.003429826,true
612,Rb2Sb2Cl7,-0.051117228,true
613,Rb3Sb2Cl9,-0.061869018,true
614,Rb4(SbCl4)3,-0.053049756,true
615,Rb3SbCl7,0.024755673,false
616,RbSb2Cl9,0.004372374,false
617,Rb7SbCl11,0.027493513,false
618,RbSb2Cl3,0.090864805,false
619,Rb7SbCl10,0.010696410,false
620,Rb3(SbCl4)2,-0.020370720,true
621,RbSbCl5,0.020304924,false
622,RbSb3Cl11,0.026378726,false
623,Rb7Sb2Cl11,0.012117358,false
624,Rb2Sb2Cl5,0.024430811,false
625,Rb2SbCl9,-0.014272928,true
626,RbSbCl8,-0.014254623,true
627,Rb4Sb3Cl13,-0.059094595,true
628,Rb(SbCl3)2,-0.041631654,true
629,Rb2Sb3Cl11,-0.037250018,true
630,Rb2SbCl11,-0.044985236,true
631,Rb5(SbCl4)3,-0.042805366,true
632,Rb3Sb2Cl7,-0.032515033,true
633,Rb3SbCl8,0.051364359,false
634,Rb3Sb3Cl11,-0.040269845,true
635,Rb3Sb4Cl13,-0.041538554,true
636,Rb(SbCl4)2,-0.008681350,true
637,RbSbCl9,-0.022501024,true
638,RbSnI2,0.234251776,false
639,RbZrI3,0.074096215,false
640,RbZrI2,0.519138576,false
641,RbZr2I7,0.035441109,false
642,RbNbI4,0.045109429,false
643,RbNbI2,0.735064191,false
644,RbNbI3,0.332229731,false
645,Rb3Nb3I10,0.094871805,false
646,Rb3Nb2I7,0.267820909,false
647,RbTaI3,0.520870960,false
648,RbTaI2,0.949740552,false
649,RbHfI3,0.358720200,false
650,RbHfI4,0.125575124,false
651,RbHfI2,0.702428475,false
652,K2AgSbBr6,-0.007149517,true
653,KAgSbBr6,-0.027001071,true
654,K2AgSbBr8,-0.034932677,true
655,K2AgSbBr7,0.032079091,false
656,K4Ag3SbBr12,-0.030961712,true
657,K2Ag2SbBr6,0.010088909,false
658,KAgSbBr5,0.003828768,false
659,KAg(SbBr4)2,0.006621279,false
660,K5Ag2SbBr12,-0.021281651,true
661,KAg3SbBr7,0.027135574,false
662,KAg2SbBr8,-0.026415410,true
663,KAg3(SbBr5)2,0.013308792,false
664,KAg2SbBr6,0.008080367,false
665,K2Ag2Sb3Br13,-0.000236177,true
666,KAgSbBr4,0.013175014,false
667,K3AgSb3Br13,-0.002197857,true
668,KAg2(SbBr4)3,0.010459300,false
669,KAgSb2Br7,-0.002648443,true
670,K3AgSbBr7,0.040959813,false
